account_id,actual_compute_hours,actual_storage_tb,overuse_flag
28f77f87-0d00-44c1-9e17-e84213e9d522,5559.81,42.95,False
22238eae-ca03-4f1c-a44b-aaaa2a23dfd4,4232.99,66.17,False
695de833-ea2d-4733-8a71-d31832ecf880,1587.19,62.42,False
54985bea-a106-4951-a591-96546f340f29,4895.05,58.34,False
4edab2f7-119f-4e1f-a4cd-1fafe2111fda,2414.43,59.67,True
6c6ae2e1-aefe-4469-87a2-390228ed85a0,4772.58,0.69,False
b49d9a14-a374-40e3-aa6d-24afdae0a88d,4517.75,22.05,False
2ab3ca2f-4996-4dd8-9cbb-ad2037d20a36,7438.28,60.95,False
3cc8c7a1-4599-4f7f-8877-5cbe8fb7a3cd,1330.74,31.01,False
9357ca66-2877-4f9b-a94c-821e9c07b1c5,822.96,7.32,False
62c620a4-b212-4f75-9746-d05f89f297b8,1323.78,88.19,False
a442a1aa-385f-421a-86ea-e1f8836936a4,3650.19,10.01,False
71b07cfe-994a-4ddd-9c21-d0d14072b039,5849.36,5.94,False
594b82ae-3ba0-4fcf-ae9e-ac4ce531aad1,3648.74,13.19,False
5db68dcd-2593-480c-941d-d20b17cafe94,2950.83,21.53,False
da608720-c5f6-4b82-bd4c-697793c6287e,2763.71,46.9,False
ceb0c391-2d15-4d7a-afde-279509edfb9e,4430.72,63.48,False
f20ace75-494a-45c5-a7d1-b50028c0ae2b,8484.66,52.35,False
61a96795-5b75-45f1-b77e-a75e56167ffc,1056.74,1.32,False
de352e1d-44a5-4d86-8e0e-3f0abdf3a500,509.69,42.77,False
d5daadf0-4ac6-49cd-aadb-4953243d9cfc,3325.95,35.78,False
451ab3c7-8ca2-4f5e-8bd0-c48ec35ad0d1,2083.33,21.74,False
b966a444-8c91-412e-849d-4ea1aefd583e,1631.2,39.12,False
5a5108f0-4845-4178-a769-e2f331090bd5,3485.41,59.9,False
7f7aa3ed-004e-4878-9293-95c2c966a7f7,6602.83,47.11,False
37ee95e7-28ad-47b8-9d97-38bb700211ad,3506.87,41.55,False
c4e8075c-3042-44a5-b3b6-94252a7ea3d4,3991.9,55.2,False
f0f8b1d0-6f68-48f3-9e72-7e18a7bdd814,2279.23,67.58,False
99b26ecd-2b8f-4095-8a90-e19e158df0d4,3410.2,53.66,False
0469286d-b0ba-4c8e-8e1a-afdb2b35530a,2739.23,9.27,False
9700addd-05f6-4c3f-9c75-1bdae5a00f57,1950.23,49.5,False
75cd7205-c29a-466e-ab88-e984b334637b,8344.84,13.91,False
a1356948-87ba-4155-a7c2-66b0b7baf15a,514.41,25.22,False
4cd07fbd-e7b1-44bb-8f7a-9ff7bb89116f,7379.29,2.22,False
2a7c5def-7426-44f9-889a-c8c0fb65be1f,5120.02,20.0,False
f830913a-a7b6-45fd-9777-9b1a4b783365,6507.02,32.44,False
f4795e96-2bc9-422f-aeb4-fde18750ab13,4773.97,45.04,False
ab31502b-ef8a-428f-970f-51a91cefe050,5755.56,61.4,False
0f01fc5b-7f5d-48d7-9c39-f31ecdbb831f,3409.04,5.86,False
ae9ea5a5-91d1-43d0-a150-d63c61fc1b05,2549.86,44.29,False
0ec4e932-758d-4934-bce2-22d682f8757f,1219.8,67.85,False
